what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492031675535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492031691027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492031759702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492031789644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492031791199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492031792796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492031792918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1492031805619
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492031808307
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492031809021
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492031809681
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1492031810044
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1492031812398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492031845493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032035742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032042902
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1492032043086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032070053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032094543
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032106468
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1492032106666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492032120208
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032120900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1492032123068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492032123916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492032125100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032127116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032187340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032200480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032316132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032368544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032399444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032409302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032413610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032429667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032441157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032455153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032507356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032543105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032562020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032564746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032564946
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032606750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032613058
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032641662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032644309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032654021
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032654423
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032654476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492032659530
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032666569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032667544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032672818
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1492032672828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032674884
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032676160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032676340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1492032679476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032682434
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032682624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492032683780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492032724858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492032743425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492032748267
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492032754664
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492032754828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032764818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032818442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492032862854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492033139935
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492033143977
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492033144130
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492033147143
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492033147316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492033152490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492033152596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492033154349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492033157189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492033198151
